OBJECTID,ISLAND,REGION,PROVINCE,DEO,CONG_DIST,ROAD_NAME,LOCATION,BRIDGE_ID,BR_NAME,BR_LENGTH,BR_TYPE1,BR_TYPE2,YR_CONST,ACTUAL_YR,CONDITION,NUM_ABUTT,NUM_PIER,NUM_SPAN,BR_WIDTH,BR_LIFE,LOAD_LIMIT,HT_OVER,HT_UNDER,L_SDWALK,R_SDWALK,NUM_LANES,BNR,CROSSING,BRGY,MUN,REMARKS,created_user,created_date,last_edited_user,last_edited_date,ROAD_SEC_CLASS,SEC_ID,SEC_LENGTH,ROUTE_NO,MaxBRHT,MaxPierHT,COMMENTS
"15",Luzon,National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,Malabon City (Lone District),C-4 Road,"1757",B01750LZ,C-4 Br. 2,73,Concrete,Permanent,Year Known,"1993",Good,"2","2","3",17.48,"23",20,3,3.05,1.08,1.3,"4",0,Estuary (Salt Water),Brgy. Longos,Malabon City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S02153LZ,"0","120",5.65,5.2,"Completed Project GAA 2016 - Retrofitting/Strengthening of Bridge, Newly Asphalt MVUC Project C.Y. 2015"
"16",Luzon,Cordillera Administrative Region,Benguet,Benguet 1st District Engineering Office,Benguet (Lone District),Kennon-Agat Rd,"1032",B02190LZ,Dungon Br.,36,Concrete,Permanent,Year Known,"1968",Poor,"2","2","3",6.4,"6",10,0,0,0,0,"2",0.203857,River/Waterway (fresh water),Camp 1,Tuba, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00403LZ,"0","0",0,0.7,Worsening defects on the bridge were noted. Routine and major maintenance required to provide safety to motorists and avoid  further bridge deterioration.
"17",Luzon,National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,City Of Las Piñas (Lone District),Zapote-Alabang Flyover,"161",B01764LZ,Zapote Fly-Over,216,Concrete,Permanent,Year Known,"1972",Fair,"2","7","8",15.49,"40",0,0,4.88,0.46,0.46,"4",0.100802,Road,Zapote,Las Piñas, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S03273LZ,"0","411",6.7,4.88,Bridge is in FAIR condition
"18",Luzon,National Capital Region,Metro Manila,North Manila District Engineering Office,Manila City (Sixth District),Nagtahan Bridge / Fly-Over,"250",B03338LZ,Nagtahan Fly-Over,201,Concrete,Permanent,Year Known,"1975",Fair,"2","16","17",26.4,"30",20,0,0,0.46,0.46,"8",0.060293,Not Specified,Barangay 634,Manila, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S02413LZ,"0","140",13,13.24,"Cracks in left wingwall of abutment 1 is poor rating, Cracks and RSB exposure in coping beams of piers and Steel Casing damages in piers"
"19",Luzon,Cordillera Administrative Region,Kalinga,Lower Kalinga District Engineering Office,Kalinga (Lone District),Kalinga-Cagayan Rd (Calanan-Enrile Section),"30819",B00980LZ,Liwan Br.,37,Concrete,Permanent,1945-1970,"1973",Fair,"2","2","3",9,"20",15,0,0,0.8,0.8,"2",0.08,River/Waterway (fresh water),Liwan East,Rizal, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S00566LZ,"0","52",6.8,5.2,Asphalt overlay to prevent further deterioration of deck.
"20",Luzon,National Capital Region,Metro Manila,North Manila District Engineering Office,Manila City (Fourth District),R Magsaysay Blvd,"1019",B01782LZ,R. Magsaysay Br. 2,39,Concrete,Permanent,Year Known,"1972",Fair,"2","2","3",29.42,"20",15,0,0,2.46,2.46,"8",0.106667,Not Specified,Brgy. 593,Manila, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S02321LZ,"0","180",6.6,5.5,Spalling with RSB exposure needs patching for Piers
"21",Luzon,National Capital Region,Metro Manila,Metro Manila 1st District Engineering Office,San Juan City (Lone District),P Guevarra-J Vargas St,"148",B02796LZ,J. Vargas Br.,7,Concrete,Permanent,Year Known,"1992",Fair,"2","0","1",6,"30",15,0,0,0,0,"2",0.119497,Canal,Brgy. Bagong Silang,Mandaluyong City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S03960LZ,"0","0",15,0,"corroded railings need repair and painting, deck cleaning and sweeping"
"22",Luzon,Cordillera Administrative Region,Benguet,Benguet 1st District Engineering Office,Benguet (Lone District),Kennon Rd,"12802",B02173LZ,Camp 3 Br. 2,103,Steel,Permanent,1945-1970,"1968",Good,"2","4","5",8.3,"22",10,0,0,0.5,0.5,"2",0.026455,River/Waterway (fresh water),Camp 3,Tuba, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S00393LZ,"0","54",30,23.7,The bridge is in good condition in general but still needs routine and minimal major maintenance to maintain its present condition.
"23",Luzon,National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,City Of Muntinlupa (Lone District),Alabang-Muntinlupa Rd,"2977",B01809LZ,San Guillermo Br.,12,Concrete,Permanent,Year Known,"1972",Fair,"2","0","1",7.09,"40",0,0,0,0,0,"2",0.069182,River/Waterway (fresh water),Poblacion,Muntuinlupa, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S03264LZ,"0","0",4.2,0,THE BRIDGE IS NEWLY RETROFITTED UNDER FY 2019.INSTALLED WITH CARBON FIBER SHEETS.
"24",Luzon,Cordillera Administrative Region,Ifugao,Ifugao 2nd District Engineering Office,Ifugao (Lone District),Banaue-Mayoyao-A Lista-Isabela Bdry Rd,"21283",B02208LZ,Habbang Br.,57,Steel,Permanent,Year Known,"2005",Good,"2","1","2",9.69,"36",0,0,0,0.76,0.76,"2",0,River/Waterway (fresh water),Adoyongan,Mayoyao, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00480LZ,"0","224",13.5,8.1,Asphalt Overlay is on going.
"25",Luzon,Cordillera Administrative Region,Benguet,Baguio City District Engineering Office,Baguio City (Lone District),Loakan Rd,"639",B02196LZ,Loakan Br. 2,20,Steel,Permanent,Year Known,"1968",Good,"2","2","3",8.95,"40",10,0,0,0.8,0.8,"2",0,River/Waterway (fresh water),Loakan Liwanag,Bagui City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00443LZ,"0","231",6.6,4.2,Routine Maintenance - Cleaning of Bridge Waterways
"26",Luzon,National Capital Region,Metro Manila,Metro Manila 3rd District Engineering Office,Valenzuela City (First District),East Service Rd (Valenzuela),"277",B02412LZ,Lawang Bato Br.,18,Concrete,Permanent,Year Known,"1990",Fair,"2","0","1",9.55,"40",0,0,0,0.8,0.8,"2",0.188679,River/Waterway (fresh water),Lawang Bato,Valenzuela City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S02060LZ,"0","0",6.4,0,on-going retrofitting CY-2019
"27",Luzon,Cordillera Administrative Region,Mt.Province,Mt. Province District Engineering Office,Mountain Province (Lone District),Mt Prov-Ilocos Sur via Tue Rd,"23609",B00936LZ,Quisop Br.,21,Steel,Permanent,Year Known,"2000",Fair,"2","0","1",11.5,"6",15,0,0,1.1,1.1,"2",0.113208,River/Waterway (fresh water),Otucan,Bauko, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00530LZ,"0","205",9.7,0,Provide Interceptor at Low Chainage and High Chainage
"28",Luzon,Cordillera Administrative Region,Abra,Abra District Engineering Office,Abra (Lone District),Abra-Kalinga Rd,"6701",B02228LZ,Balingasa Br.,17,Concrete,Permanent,1945-1970,"1978",Good,"2","2","3",8.9,"40",18,0,4.95,0.5,0.5,"2",0.011905,River/Waterway (fresh water),Deet,Tayum, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00592LZ,"0","204",8.6,2.35,Condition is Good
"29",Luzon,Cordillera Administrative Region,Kalinga,Upper Kalinga District Engineering Office,Kalinga (Lone District),Kalinga-Abra Rd,"49765",B00968LZ,Saltan Br.,28,Steel,Permanent,Year Known,"1973",Good,"2","0","1",9.7,"9",0,0,0,0.75,0.75,"2",0.012579,River/Waterway (fresh water),Balbalasang,Balbalan, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00561LZ,"0","204",33.5,0,"No major maintenance, routine only"
"30",Luzon,Cordillera Administrative Region,Ifugao,Ifugao 2nd District Engineering Office,Ifugao (Lone District),Nueva Vizcaya-Ifugao-Mt Province Rd,"21193",B02205LZ,Sumigar Br.,13,Concrete,Permanent,Year Known,"1972",Good,"2","0","1",8.22,"20",15,0,0,0.45,0.43,"2",0,River/Waterway (fresh water),Viewpoint,Banaue, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00497LZ,"0","109",9.2,0,BRIDGE WAS JUST OVERLAYED FUNDED FY 2017
"31",Luzon,Cordillera Administrative Region,Benguet,Baguio City District Engineering Office,Baguio City (Lone District),Asin Rd,"2524",B04281LZ,Asin Br. 1,6,Concrete,Permanent,Year Known,"1973",Good,"2","0","1",7.7,"0",10,0,0,0.5,0.5,"2",0,River/Waterway (fresh water),Asin Road Barangay,Baguio City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S04723LZ,"0","0",3.3,0,Routine Maintenance Bridge Waterways Cleaning
"32",Luzon,National Capital Region,Metro Manila,North Manila District Engineering Office,Manila City (Third District),CM Recto,"1496",B01771LZ,Claro M. Recto Br. 2,13,Concrete,Permanent,Year Known,"1975",Fair,"2","0","1",33,"15",15,0,0,3.75,3.75,"6",0.206349,Canal,Brgy. 266 Zone 24,City Of Manila,"23",GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S02229LZ,"0","145",0,0,Section loss in steel railings both sides and spalling with RSB exposure Right sidewalk and spalling og G1
"33",Luzon,Cordillera Administrative Region,Benguet,Benguet 1st District Engineering Office,Benguet (Lone District),Kennon Rd,"14348",B02174LZ,Ataki Br.,22,Steel,Permanent,Year Known,"1968",Fair,"2","0","1",8.9,"15",10,0,0,0.4,0.5,"2",0.117647,River/Waterway (fresh water),Camp 6,Tuba, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S00393LZ,"0","54",16,0,Routine and major maintenance required to provide safety to motorists and avoid further bridge deterioration.
"34",Luzon,Cordillera Administrative Region,Mt.Province,Mt. Province District Engineering Office,Mountain Province (Lone District),Mt Prov-Ilocos Sur via Kayan Rd,"1904",B04292LZ,Losong Br.,10,Concrete,Permanent,Year Known,"1975",Fair,"2","0","1",9.6,"42",15,0,8.7,1.01,1.05,"2",0.113208,Not Specified,Bunga,Tadian, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00532LZ,"0","0",8.7,0,NEWLY CONSTRUCTED BRIDGE (YEAR 2012)
"35",Luzon,National Capital Region,Metro Manila,Metro Manila 1st District Engineering Office,City Of Mandaluyong (Lone District),EDSA/Ortigas Flyover,"77",B03314LZ,EDSA/Ortigas Flyover,348,Concrete,Permanent,Year Known,"1990",Fair,"2","8","9",10.3,"30",0,0,6.95,0,0,"3",0.344828,Road, ,Mandaluyong City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S03978LZ,"0","1",7.5,6,epoxy injection at deck slab. need painting at bridge components
"36",Luzon,Cordillera Administrative Region,Benguet,Benguet 2nd District Engineering Office,Benguet (Lone District),Baguio-Bontoc Rd,"42728",B01314LZ,Baguingey Br.,7,Concrete,Permanent,Year Known,"1950",Fair,"2","0","1",10.2,"0",15,0,0,0.55,0.55,"2",0.09434,River/Waterway (fresh water),Cattubo,Atok, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00373LZ,"0","204",5.25,0,Major scaling was observed and needs sealant for expansion joint.
"37",Luzon,National Capital Region,Metro Manila,Metro Manila 2nd District Engineering Office,City Of Makati (First District),South Super H-way,"551",B01802LZ,Makati Div. Channel Br.,156,Concrete,Permanent,Year Known,"1962",Good,"2","0","1",21.3,"20",20,0,0,0,0,"6",0.012579,Canal,Bangkal,Makati City,"23",GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S03283LZ,"0","145",0,0,"Regular Sweeping and Repainting of Bridge Structures, Cleaning of Waterways"
"38",Luzon,Cordillera Administrative Region,Mt.Province,Mountain Province 2nd District Engineering Office,Mountain Province (Lone District),Jct Talubin-Barlig-Natonin-Paracelis-Calaccad Rd,"24997",B04290LZ,Agog-go Br. 1,13,Concrete,Permanent,Year Known,"2012",Poor,"2","0","1",9.6,"44",15,0,8.35,1.06,1.07,"2",0.377358,Not Specified,Agog-Go,Barlig, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S03997LZ,"0","0",8.5,0,"There are scouring, rebar exposure, and spalling at the abutments. Major repair is needed."
"39",Luzon,National Capital Region,Metro Manila,Las Piñas-Muntinlupa District Engineering Office,City Of Muntinlupa (Lone District),Paranaque-Sucat Rd,"100",B01826LZ,Sucat Interchange (WB),50,Steel,Permanent,Year Known,"1972",Good,"2","1","2",7.8,"40",0,4.4,0,1.14,0,"4",0,Road,Sucat,Muntinlupa, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S03293LZ,"0","63",6.78,6.3,Included under GAA 2019
"40",Luzon,Cordillera Administrative Region,Benguet,Benguet 1st District Engineering Office,Benguet (Lone District),Kennon Rd,"16817",B02177LZ,Pugo Br.,46,Steel,Permanent,Year Known,"1950",Good,"2","1","2",8.64,"17",10,0,0,0.4,0.4,"2",0,River/Waterway (fresh water),Camp 6,Tuba, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S00393LZ,"0","54",28.6,6.3,Rehabilitation/Major repair of bridge was implemented under FY 2020 GAA. Bridge is on good condition.
"41",Luzon,National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,Malabon City (Lone District),Road to Tanza,"160",B01757LZ,Tanza Br.,48,Concrete,Permanent,Year Known,"1996",Poor,"2","2","3",9.9,"26",20,4.1,3.74,1.3,1.3,"2",0.220126,River/Waterway (fresh water),Brgy. Tanza,Navotas City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S02197LZ,"0","0",6.34,3.4,Possibility of non - elastic reactions causing deep cracks in the concrete structures.Need for strenghtening and retroffiting
"42",Luzon,Cordillera Administrative Region,Apayao,Apayao 1st District Engineering Office,Apayao (Lone District),Abbut-Conner Rd,"24806",B02241LZ,Mabubua Br.,25,Concrete,Permanent,Year Known,"1990",Fair,"2","0","1",8.82,"10",15,0,0,0.46,0.47,"2",0.174074,River/Waterway (fresh water),Caglayan,Conner, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00614LZ,"0","222",9.61,0,Main members were applied with carbon fiber sheets.Seal bridge deck with pressurized concrete epoxy.Minor repair on concrete structures.
"43",Luzon,National Capital Region,Metro Manila,North Manila District Engineering Office,Manila City (Third District),Reina Regente,"88",B01788LZ,Reina Regente Br.,24,Concrete,Permanent,Year Known,"1995",Fair,"2","0","1",15.54,"30",15,0,0,1.07,1.06,"4",0.15,Canal,292 Zone 28,Manila, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S02300LZ,"0","0",0,0,Cracks in girders and RSB exposure in Right railing
"44",Luzon,Cordillera Administrative Region,Kalinga,Lower Kalinga District Engineering Office,Kalinga (Lone District),Balbalan-Pinukpuk Rd,"28212",B02122LZ,Capegan Br.,18,Steel,Permanent,Year Known,"2006",Fair,"2","0","1",9.7,"25",0,0,0,0.75,0.75,"2",0.142857,River/Waterway (fresh water),Pinukpuk Junction,Pinukpuk, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00537LZ,"0","0",6.75,0,Replacement of expansion joint and asphalt overlay of deck.
"45",Luzon,Cordillera Administrative Region,Apayao,Apayao 2nd District Engineering Office,Apayao (Lone District),Kabugao-Pudtol-Luna-Cagayan Bdry Rd,"33747",B02256LZ,Maraburab Br.,15,Concrete,Permanent,Year Known,"1993",Good,"2","0","1",8.75,"0",18,0,0,0.35,0.35,"2",0,River/Waterway (fresh water),Sta. Lina,Luna, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00628LZ,"0","223",7.9,0,CLEAN WATERWAYS
"46",Luzon,National Capital Region,Metro Manila,North Manila District Engineering Office,Manila City (Second District),J Rizal Ave,"41",B01735LZ,Maligaya Creek Br.,7,Concrete,Permanent,Year Known,"1990",Fair,"2","0","1",25.55,"20",0,0,0,0,0,"4",0.245614,Not Specified, ,Manila, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S02408LZ,"0","150",1.1,0,Replaced under GAA 2015
"47",Luzon,National Capital Region,Metro Manila,Metro Manila 1st District Engineering Office,Taguig City (First District),PPTA Rd,"7683",B01882LZ,Lower Bicutan Br.,5,Concrete,Permanent,Year Known,"2008",Good,"2","0","1",10.4,"50",20,0,0,1,1,"2",0.025157,Canal,Lower Bicutan,Taguig City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S03972LZ,"0","142",3.4,0,"needs immediate painting, repair/rehabilitation"
"48",Luzon,Cordillera Administrative Region,Apayao,Apayao 2nd District Engineering Office,Apayao (Lone District),Claveria-Calanasan-Kabugao Rd,"80128",B04839LZ,Dallawas Br.,21,Concrete,Permanent,Year Known,"2017",Good,"2","0","1",9.73,"0",0,0,0,0.8,0.8,"2",0,River/Waterway (fresh water),Ninoy Aquino,Calanasan, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00630LZ,"0","0",7.8,0,CLEAN UNDER BRIDGE
"49",Luzon,Cordillera Administrative Region,Mt.Province,Mt. Province District Engineering Office,Mountain Province (Lone District),Mt Province-N Vizcaya Rd,"13817",B00922LZ,Talubin Br.,16,Concrete,Permanent,Year Known,"2003",Fair,"2","0","1",6.7,"6",0,0,0,0.4,0.4,"2",0.075472,River/Waterway (fresh water),Talubin,Bontoc, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00513LZ,"0","109",13.9,0,BRIDGE'S EXPANSION JOINT IS OBSERVED TO HAVE A WIDE GAP THUS IT IS RECOMMENDED THAT IT WILL BE INSTALLED WITH RUBBER DAM (SEALANT) TO PREVENT WATER LEAKAGE AND TO PROVIDE SAFETY TO COMMUTERS AND PEDESTRIANS. ALSO INTERCEPTOR SHOULD BE PROVIDED AT BRIDGE
"50",Luzon,Cordillera Administrative Region,Ifugao,Ifugao 2nd District Engineering Office,Ifugao (Lone District),Banaue-Mayoyao-A Lista-Isabela Bdry Rd,"40557",B04545LZ,Chaya Br.,15,Concrete,Permanent,Year Known,"2014",Good,"2","0","1",9.5,"45",10,0,0,1,1,"2",0,Not Specified,Chaya,Mayoyao, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00480LZ,"0","224",7.5,0,Asphalt overlay was just completed on March 2020.
